votesInFavor,distance,ateFavoriteDish,endTime,groupID,canteenTime,pastExperience,canteenExperience,canteen
1,0,0,1.95,1,2.04,0.6,0.6,4
0.8,0,1,0.48,1,3.75,0.675,0.6,0
0.67,0,1,2.43,1,2.53,0.45,0.7,2
1,0,1,4.13,1,0.90,0.475,0.5,3
0.8,0,1,0.46,1,4.75,0.55,0.1,0
1,0,0,4.16,1,1.88,0.65,0.5,3
1,0.5,1,3.31,1,2.77,0.475,0.6,0
1,0,1,6.16,2,0.82,0.475,0.7,2
1,0.5,0,3.30,1,3.78,0.625,0.8,0
1,0,1,6.16,2,1.83,0.475,1,2
1,0,1,5.74,2,2.51,0.55,0.6,0
1,0,1,5.74,2,3.53,0.725,0.8,0
1,0,1,11.28,3,0.75,0.6,1,2
1,0,1,11.28,3,1.76,0.725,0.5,2
0.67,0.6,1,13.12,3,0.04,0.775,0.6,5
0.67,0.6,1,13.13,3,1.05,0.475,0.6,5
0.67,0.6,0,13.12,3,2.06,0.6,0.5,5
1,0,1,0.48,1,0.57,0.6,0.5,0
0.67,0,1,0.74,1,0.38,0.825,0.6,2
1,0,1,0.49,1,1.59,0.625,0.9,0
0.67,0,1,0.69,1,1.36,0.45,0.5,2
1,0,1,0.48,1,2.60,0.675,0.7,0
1,0.9,0,2.16,1,0.82,0.575,1,3
1,0.9,0,2.63,1,0.39,0.525,0.6,4
0.67,0,0,0.70,1,2.38,0.475,0.5,2
1,0,0,0.48,1,3.62,0.625,0.6,0
1,0.9,1,2.62,1,1.41,0.8,0.5,4
1,0.9,1,2.19,1,1.85,0.775,0.6,3
1,0,1,0.48,1,4.63,0.55,0.5,0
0.5,0,1,5.27,1,0.83,0.6,0.5,1
1,0.6,0,5.86,2,0.24,0.675,0.2,5
1,0.5,0,3.45,1,2.53,0.475,0.6,0
0.5,0,1,5.26,1,1.84,0.525,0.6,1
1,0.6,1,5.86,2,1.26,0.4,0.8,5
1,0.5,1,3.46,1,3.55,0.625,0.6,0
