distance,groupID,canteenTime,pastExperience,canteenExperience,canteen
0,1,1.430881134,0.55,0.9,0
0.9,1,1.176616803,0.575,0.2,3
0,1,1.858997906,0.6,0.5,1
0,1,2.459582868,0.625,0.6,0
0.9,1,0.280529316,0.525,0.5,4
0.5,1,2.126149683,0.55,0.7,1
0,1,3.474656538,0.6,0.5,0
0.9,1,1.346277336,0.8,0.6,4
0.5,1,3.165678039,0.425,0.7,1
0,1,4.546893127,0.675,0.7,0
0.5,1,4.183984607,0.8,1,1
0.5,1,1.857654163,0.625,0.5,0
0.5,1,2.824060754,0.475,0.5,0
0,2,2.4991672,0.725,0.6,0
0,2,3.513978511,0.55,0.2,0
0.9,2,0.691363776,0.45,0.6,3
0.7,2,4.14335615,0.65,0.5,0
0.9,2,1.707554687,0.725,0.5,3
0.7,2,5.156380675,0.625,0.4,0
0.6,3,0.94182392,0.475,0.6,5
0.6,3,1.954114164,0.6,0.5,5
0.6,3,2.966085709,0.775,0.2,5
0.5,1,0.04982808,0.65,0.7,1
0,1,0.403030772,0.6,0.7,1
0.5,1,1.077970485,0.5,0.5,1
0,1,1.411297896,0.525,0.5,1
0.5,1,2.093952999,0.475,0.5,1
0,1,0.575897028,0.475,0.5,4
0,1,0.420262411,0.65,0.6,3
0.5,1,2.158151716,0.625,0.6,1
0,1,1.42900278,0.475,1,3
0,1,1.591458287,0.6,0.5,4
0,2,0.095695832,0.725,0.4,0
0,2,1.10426447,0.55,0.4,0
0.5,1,6.299347919,0.75,0.6,1
0.5,1,1.572897468,0.625,0.6,0
0.5,1,6.837016192,0.425,0.5,1
0.5,1,2.583663534,0.475,0.3,0
0.5,1,7.851745952,0.8,0.9,1
0.7,2,1.611981817,0.65,0.5,0
0.5,1,8.863513032,0.55,0.5,1
0,3,0.371109085,0.725,0.4,2
0.7,2,2.622362775,0.625,0.5,0
0,2,4.147175357,0.525,0.5,1
0,3,1.375900302,0.6,0.2,2
0,2,5.163154913,0.5,0.5,1
0,3,0.724050089,0.325,0.6,1
0,3,1.736174867,0.55,0.5,1
0,3,2.747207298,0.55,0.4,1
0,1,0.561688634,0.6,0.5,0
0,1,0.463436313,0.6,0.5,4
0,1,1.624997255,0.675,0.9,0
0,1,0.908073066,0.6,0.4,1
0,1,1.480804564,0.475,0.5,4
0,1,1.925773618,0.525,0.9,1
0,1,2.672124629,0.625,0.5,0
0,1,0.924543894,0.475,0.5,2
0.9,1,1.284479751,0.525,0.5,4
0,1,3.712401914,0.55,0.5,0
0,1,1.942841479,0.45,0.2,2
0.9,1,2.274441256,0.8,0.7,4
0,1,4.701062203,0.625,0.6,0
0,1,2.964693021,0.825,0.7,2
0.5,1,1.892675517,0.625,0.5,0
0,2,0.903229455,0.525,0.7,1
0.5,1,2.904578156,0.475,0.5,0
0,2,1.913137041,0.5,0.6,1
0,2,2.573030575,0.55,0.9,0
0,2,3.584372945,0.725,0.4,0
0.7,2,4.030771402,0.65,0.6,0
0,3,0.216880216,0.725,0.6,2
0.7,2,5.04232429,0.625,0.7,0
0,3,1.226832708,0.6,0.5,2
0,3,0.912732321,0.55,0.4,1
0,3,1.925075016,0.325,0.6,1
0,3,2.935635029,0.55,0.6,1
0,1,0.066521964,0.6,0.5,0
0,1,0.714431499,0.525,0.6,1
0,1,1.091289364,0.55,0.6,0
0,1,2.101829931,0.625,0.8,0
0,1,1.732516218,0.6,0.6,1
0.9,1,0.107949306,0.8,0.6,4
0,1,3.111055611,0.675,0.9,0
0.9,1,1.217857193,0.525,0.2,4
0,1,4.126576145,0.625,0.6,0
0.7,1,4.234805683,0.325,0.9,0
0.7,1,5.247140038,0.475,0.6,0
0,1,0.969843017,0.6,0.7,4
0.7,1,6.256187531,0.65,0.5,0
0,1,1.976977029,0.475,0.7,4
0.5,1,4.1473584,0.475,0.6,0
0.6,2,0.459086176,0.4,0.5,5
0.5,1,5.158777624,0.625,0.6,0
0.6,2,1.469422871,0.675,0.7,5
0,2,5.450777649,0.55,0.5,0
0.6,3,0.224158478,0.6,0.6,5
0,3,0.416010024,0.725,0.7,2
0,2,6.418121755,0.725,0.7,0
0.6,3,1.234329962,0.775,0.4,5
0,3,1.426296456,0.6,0.1,2
0.7,2,3.305961338,0.625,0.5,0
0.6,3,2.240893021,0.475,0.7,5
0.7,2,4.319295541,0.65,0.5,0
0,1,0.380327263,0.675,0.4,0
0.9,1,0.474234165,0.575,0.6,3
0,1,1.391431742,0.55,0.4,0
0,1,0.629725072,0.525,0.5,1
0.9,1,1.484999394,0.775,0.2,3
0,1,2.407054955,0.6,0.9,0
0,1,1.643049319,0.6,0.5,1
0.9,1,0.670547961,0.525,0.8,4
0,1,3.419277146,0.625,0.6,0
0.5,1,2.416695831,0.55,0.2,1
0.5,1,3.43939499,0.8,0.7,1
0,1,4.478156331,0.625,0.5,0
0.9,1,1.747332541,0.8,0.5,4
0.5,1,4.451500122,0.425,0.7,1
0.5,1,1.441999251,0.475,0.2,0
0.5,1,2.453956089,0.625,0.6,0
0,2,2.255436666,0.725,0.5,0
0,2,3.265756023,0.55,0.6,0
0,3,0.046608789,0.6,0.3,2
0,3,0.085447669,0.55,0.7,1
0.7,2,0.782343005,0.625,0.5,0
0.9,2,0.78706221,0.45,0.5,3
0,3,1.070877023,0.725,0.4,2
0,3,1.096643351,0.55,0.5,1
0.7,2,1.816592737,0.65,0.4,0
0.9,2,1.798071494,0.725,0.5,3
0,1,0.102994068,0.525,0.2,1
0,1,0.590766611,0.625,0.8,0
0,1,1.113659266,0.6,0.7,1
0,1,1.625330992,0.625,0.5,0
0,1,0.505602388,0.825,0.5,2
0,1,1.024536313,0.475,0.6,4
0,1,2.67173073,0.6,0.7,0
0,1,1.517223736,0.475,0.8,2
0,1,2.038972374,0.6,0.6,4
0,1,3.746387605,0.675,0.6,0
0,1,2.532281475,0.45,0.7,2
0,1,0.89761483,0.475,0.5,3
0,1,4.753732971,0.55,0.1,0
0,1,1.884498364,0.65,0.5,3
0.5,1,2.770044299,0.475,0.6,0
0,2,0.820194958,0.475,0.7,2
0.5,1,3.781319131,0.625,0.8,0
0,2,1.830826719,0.475,1,2
0,2,2.514400803,0.55,0.6,0
0,2,3.526156751,0.725,0.8,0
0,3,0.747944757,0.6,1,2
0,3,1.759365473,0.725,0.5,2
0.6,3,0.042514228,0.775,0.6,5
0.6,3,1.054080735,0.475,0.6,5
0.6,3,2.061992635,0.6,0.5,5
0,1,0.569117071,0.6,0.5,0
0,1,0.379254313,0.825,0.6,2
0,1,1.587251821,0.625,0.9,0
0,1,1.361436916,0.45,0.5,2
0,1,2.599864259,0.675,0.7,0
0.9,1,0.820986846,0.575,1,3
0.9,1,0.38912021,0.525,0.6,4
0,1,2.378989183,0.475,0.5,2
0,1,3.616354931,0.625,0.6,0
0.9,1,1.413744905,0.8,0.5,4
0.9,1,1.845578157,0.775,0.6,3
0,1,4.627223,0.55,0.5,0
0,1,0.829944094,0.6,0.5,1
0.6,2,0.238588666,0.675,0.2,5
0.5,1,2.530713136,0.475,0.6,0
0,1,1.843499155,0.525,0.6,1
0.6,2,1.258037295,0.4,0.8,5
0.5,1,3.545146204,0.625,0.6,0
0.7,2,2.200448867,0.65,0.6,0
0.7,2,3.207794579,0.625,0.6,0
0,2,4.154822721,0.725,0.6,0
0,2,5.165143018,0.55,0.8,0
0,3,0.496471624,0.6,0.4,2
0,3,1.508993175,0.725,0.3,2
0,3,0.789361599,0.55,0.4,1
0,3,1.800919077,0.325,0.6,1
0,3,2.812383532,0.55,1,1
0,1,0.500777621,0.625,0.9,0
0,1,0.105677492,0.475,0.6,2
0,1,1.511525717,0.55,0.6,0
0,1,1.127807893,0.45,0.6,2
0,1,2.526658891,0.6,0.7,0
0,1,3.539305427,0.625,0.5,0
0,1,2.140954484,0.825,0.3,2
0,1,0.915943142,0.6,0.9,4
0,1,4.551304959,0.675,0.5,0
0,1,1.929196915,0.475,0.4,4
0,1,0.283354909,0.6,0.5,1
0.5,1,1.265797634,0.475,0.5,0
0.9,1,2.36681496,0.525,0.3,4
0,1,1.307075817,0.525,0.7,1
0.5,1,2.274842899,0.625,0.4,0
0.9,1,3.378015094,0.8,0.6,4
0,2,2.392009205,0.725,0.7,0
0.9,2,0.776444337,0.725,0.2,3
0,2,3.403597102,0.55,0.9,0
0.9,2,1.787187585,0.45,0.5,3
0,3,0.523539229,0.55,0.5,1
0.7,2,0.989447342,0.65,0.6,0
0,3,1.53501964,0.55,0.5,1
0,3,0.04612965,0.725,0.5,2
0.7,2,1.998709799,0.625,0.7,0
0,3,2.548738714,0.325,0.6,1
0,3,1.057356134,0.6,0.4,2
0,1,0.475068952,0.625,1,0
0,1,0.275720724,0.525,0.1,1
0,1,1.502845974,0.55,0.7,0
0,1,1.304660691,0.6,0.4,1
0,1,2.531199646,0.6,0.9,0
0.5,1,1.69068198,0.425,0.6,1
