votesInFavor,distance,ateFavoriteDish,endTime,canteenTime,pastExperience,canteenExperience,canteen
1.00,0.0,0,7.113353639,1.160764647,0.525,0.9,2
1.00,0.5,1,7.03177552,3.140501963,0.625,0.6,1
1.00,0.0,1,8.127685003,2.161478912,0.5,0.6,2
1.00,0.0,1,8.162190733,2.733201602,0.55,0.6,1
1.00,0.0,0,9.181049575,3.751044579,0.7249999999999999,0.7,1
0.67,0.0,1,11.141371184,0.682629617,0.55,0.7,2
0.50,0.7,0,11.15079652,0.422068125,0.65,0.2,1
0.67,0.0,1,12.167589566,1.693788255,0.55,0.5,2
1.00,0.0,1,12.139192823,0.914109468,0.7250000000000001,0.7,3
0.50,0.7,1,12.155946226,1.436826692,0.6249999999999999,0.7,1
0.67,0.0,1,13.1669632,2.70877432,0.32499999999999996,0.6,2
1.00,0.0,1,13.158822254,1.935782638,0.6,0.5,3
0.60,0.5,1,1.016717623,0.614587708,0.5,0.5,2
0.67,0.0,1,0.940882676,0.478666015,0.825,0.9,3
0.60,0.5,1,1.990149743,1.627594957,0.625,0.9,2
0.67,0.0,0,1.958250111,1.498702082,0.475,0.7,3
0.60,0.5,1,3.019461748,2.640433501,0.6499999999999999,0.6,2
0.67,0.0,1,2.965433782,2.51681275,0.45,0.6,3
1.00,0.9,1,2.969646696,0.641352344,0.5249999999999999,0.5,5
0.60,0.5,0,4.036675324,3.657699219,0.75,0.5,2
1.00,0.9,1,3.981568573,1.654113942,0.8,0.5,5
0.60,0.5,0,5.066155112,4.672612032,0.475,0.5,2
0.50,0.5,0,4.933166628,0.180804451,0.625,0.4,1
1.00,0.0,1,4.970796574,2.156346161,0.47500000000000003,0.6,5
1.00,0.0,0,5.998853631,0.14396797,0.475,0.4,3
0.50,0.5,1,5.962753526,1.19297402,0.475,0.6,1
1.00,0.0,0,5.971349939,3.145225747,0.6,0.4,5
0.50,0.0,1,7.046075435,0.414915007,0.5249999999999999,0.5,2
1.00,0.0,1,7.011882022,1.160110199,0.475,0.5,3
1.00,0.0,1,7.09172768,1.423830837,0.55,0.6,1
0.50,0.0,1,8.059010606,1.425596348,0.6,0.7,2
1.00,0.0,1,8.095890854,2.429687821,0.7249999999999999,0.5,1
1.00,0.6,1,9.07416655,0.580643637,0.675,0.5,6
1.00,0.6,1,10.096841863,1.5916557,0.4,0.5,6
0.67,0.0,1,11.073450297,0.214153208,0.55,0.9,2
1.00,0.0,1,11.056117525,0.296968616,0.7250000000000001,0.4,3
0.67,0.0,1,12.086983429,1.229466247,0.55,0.5,2
1.00,0.0,1,12.056678385,1.309514303,0.6,0.5,3
0.67,0.0,0,13.100894553,2.24029867,0.32499999999999996,0.7,2
0.80,0.0,1,1.010682918,0.623798467,0.625,0.1,1
0.80,0.0,1,2.006895892,1.639927764,0.625,0.5,1
0.67,0.5,1,1.860012918,0.939034415,0.8,0.5,2
1.00,0.9,1,1.83083304,0.590223164,0.775,0.6,4
0.80,0.0,1,3.032031022,2.656821904,0.6,0.4,1
1.00,0.9,1,2.825037475,1.591180524,0.575,0.7,4
0.67,0.5,0,2.884319989,1.974927565,0.5499999999999999,0.4,2
1.00,0.9,1,2.868086966,1.006556581,0.5249999999999999,0.7,5
0.80,0.0,0,4.050450288,3.666533759,0.675,0.1,1
0.67,0.5,1,3.885568987,2.961998936,0.42500000000000004,0.5,2
1.00,0.9,1,3.889099815,2.02697535,0.8,0.2,5
0.80,0.0,0,5.035860458,4.679344894,0.5499999999999999,0.5,1
0.50,0.0,1,6.027184457,0.997544413,0.5249999999999999,0.2,2
0.50,0.0,1,7.052315192,2.008539531,0.6,0.6,2
1.00,0.6,1,8.06614136,0.754025345,0.4,0.6,6
1.00,0.6,1,9.079651517,1.763182905,0.675,0.3,6
0.50,0.5,1,9.891520883,4.493568043,0.625,0.7,1
0.50,0.5,0,10.902225463,5.499863483,0.475,0.5,1
1.00,0.0,0,10.937707715,0.210911524,0.7250000000000001,0.6,3
1.00,0.0,0,12.102393867,4.144774313,0.55,0.7,1
1.00,0.0,1,11.949382799,1.221533051,0.6,1.0,3
1.00,0.0,0,13.105774296,5.155291597,0.7249999999999999,0.4,1
0.50,0.7,1,13.979910425,3.615842144,0.65,0.6,1
0.50,0.7,1,14.986453296,4.627980321,0.6249999999999999,0.7,1
0.33,0.6,1,15.109984709,0.352590252,0.47500000000000003,0.7,6
0.33,0.6,1,16.091654729,1.363707615,0.6000000000000001,0.6,6
0.33,0.6,1,17.13330635,2.369696788,0.775,0.7,6
0.60,0.5,0,1.015093759,0.260207325,0.6499999999999999,0.6,2
0.60,0.5,1,0.996594847,0.266720185,0.75,0.5,2
0.67,0.0,0,0.956391026,0.12939381,0.475,0.5,3
0.60,0.5,1,2.035756915,1.286047309,0.475,0.5,2
0.60,0.5,1,2.02405033,1.294133864,0.625,0.6,2
1.00,0.9,1,1.94850244,0.51400085,0.5249999999999999,0.5,5
0.67,0.0,0,1.993775401,1.152330165,0.825,0.5,3
0.60,0.5,1,3.06193064,2.298173489,0.5,0.7,2
0.67,0.0,1,3.00140278,2.165225512,0.45,0.9,3
1.00,0.9,0,2.982070346,1.545946418,0.8,0.6,5
1.00,0.5,1,3.968137384,0.416146268,0.475,0.2,1
1.00,0.0,0,4.000782601,1.529713524,0.47500000000000003,0.4,5
1.00,0.5,0,4.985672591,1.427562601,0.625,0.9,1
1.00,0.0,1,4.999511557,2.529316146,0.6,0.5,5
1.00,0.0,1,6.016030266,0.439415104,0.475,0.6,3
0.50,0.0,0,6.083518279,1.577193003,0.6,0.8,2
1.00,0.0,1,7.041307084,1.451395314,0.475,0.5,3
0.50,0.0,1,7.099827357,2.603502127,0.5249999999999999,1.0,2
1.00,0.5,0,8.123323393,2.420916587,0.55,0.4,2
1.00,0.5,1,9.150356116,3.431793852,0.5499999999999999,0.2,2
1.00,0.6,1,10.092620441,0.811754381,0.675,0.4,6
1.00,0.6,1,11.105756419,1.823787099,0.4,0.5,6
1.00,0.0,1,11.065740615,0.181687757,0.7250000000000001,0.4,3
1.00,0.0,0,12.080078996,1.194223403,0.6,0.2,3
