votesInFavor,distance,hasFavoriteDish,endTime,groupID,numStudentQueue,canteenTime,pastExperience,canteenExperience,canteen
0.67,0.5,1,1.46,1,3,3.57,0.43,0.6,1
1.00,0.0,1,3.11,1,1,1.96,0.65,0.7,3
1.00,0.0,1,1.08,1,3,4.06,0.63,0.3,0
1.00,0.0,1,1.10,1,4,5.07,0.63,0.6,0
1.00,0.0,1,6.11,2,1,1.06,0.72,0.9,0
1.00,0.0,1,6.11,2,2,2.07,0.55,0.4,0
0.50,0.5,1,5.99,1,3,3.07,0.63,0.7,0
1.00,0.6,1,9.63,2,0,0.51,0.40,0.7,5
0.50,0.5,1,5.99,1,4,4.08,0.48,0.7,0
0.67,0.0,1,10.74,3,0,0.37,0.55,0.5,1
1.00,0.6,0,9.64,2,1,1.53,0.68,0.4,5
0.67,0.0,0,10.75,3,1,1.38,0.32,0.2,1
1.00,0.0,1,11.24,3,0,0.85,0.73,0.6,2
0.67,0.0,0,10.72,3,2,2.39,0.55,0.5,1
1.00,0.0,1,11.24,3,1,1.86,0.60,0.6,2
0.50,0.5,1,11.33,2,2,2.79,0.53,0.7,1
0.50,0.5,1,11.33,2,3,3.81,0.50,0.6,1
